Player,Team,Transfer_Value_2024_25
Dominic Solanke,Tottenham,€46.6M
Dominik Szoboszlai,Liverpool,€80.2M
Donyell Malen,Aston Villa,€18.9M
Dwight McNeil,Everton,€21M
Eberechi Eze,Crystal Palace,€73.7M
Eddie Nketiah,Crystal Palace,€21.4M
Ederson,Manchester City,€85M
Edmond-Paris Maghoma,Brentford,€800k
Edson Álvarez,West Ham,€24.00m
Elliot Anderson,Nott'ham Forest,€45.00m
Emerson Palmieri,West Ham,
Emi Buendía,Aston Villa,€15.00m
Emil Krafth,Newcastle Utd,€1.5M
Emile Smith Rowe,Fulham,€35.8M
Emiliano Martínez,Aston Villa,€16.00m
Emmanuel Agbadou,Wolves,€23.8M
Enes Ünal,Bournemouth,€10.00m
Enzo Fernández,Chelsea,
Erling Haaland,Manchester City,€180.00m
Ethan Nwaneri,Arsenal,
Ethan Pinnock,Brentford,€6.5M
Evan Ferguson,Brighton,€19.8M
Evanilson,Bournemouth,€40.00m
Ezri Konsa,Aston Villa,
Fabian Schär,Newcastle Utd,€7.00m
Fabio Carvalho,Brentford,€14.00m
Facundo Buonanotte,Leicester City,€20.00m
Federico Chiesa,Liverpool,€20.2M
Ferdi Kadioglu,Brighton,
Filip Jørgensen,Chelsea,
Flynn Downes,Southampton,€5.7M
Fraser Forster,Tottenham,€0.2M
Gabriel Jesus,Arsenal,€25.00m
Gabriel Magalhães,Arsenal,
Gabriel Martinelli,Arsenal,€45.00m
George Hirst,Ipswich Town,€6.8M
Georginio Rutter,Brighton,€41.3M
Gonçalo Guedes,Wolves,
Guglielmo Vicario,Tottenham,€39.2M
Guido Rodríguez,West Ham,
Hamza Choudhury,Leicester City,€3.9M
Harrison Reed,Fulham,€5M
Harry Amass,Manchester Utd,€7.7M
Harry Clarke,Ipswich Town,
Harry Maguire,Manchester Utd,€12.9M
Harry Toffolo,Nott'ham Forest,€1M
Harry Wilson,Fulham,€14.6M
Harry Winks,Leicester City,€4M
Harvey Barnes,Newcastle Utd,€39.8M
Harvey Elliott,Liverpool,€39.2M
Hwang Hee-chan,Wolves,
Hákon Valdimarsson,Brentford,
Ian Maatsen,Aston Villa,€23.8M
Ibrahim Sangaré,Nott'ham Forest,
Ibrahima Konaté,Liverpool,
Idrissa Gana Gueye,Everton,
Igor,Brighton,€35.00m
Iliman Ndiaye,Everton,€43.2M
Illia Zabarnyi,Bournemouth,€47.7M
Ismaila Sarr,Crystal Palace,€38.4M
Issa Diop,Fulham,€8.8M
Jack Clarke,Ipswich Town,€85M
Jack Grealish,Manchester City,€29.7M
Jack Harrison,Everton,€16.1M
Jack Hinshelwood,Brighton,€9.2M
Jack Stephens,Southampton,€1.2M
Jack Taylor,Ipswich Town,
Jacob Greaves,Ipswich Town,€19.7M
Jacob Murphy,Newcastle Utd,€13.7M
Jacob Ramsey,Aston Villa,€45.8M
Jaden Philogene Bidace,Ipswich Town,
Jadon Sancho,Chelsea,€20.8M
Jahmai Simpson-Pusey,Manchester City,
Jake O'Brien,Everton,
Jakub Kiwior,Arsenal,€25.00m
Jakub Stolarczyk,Leicester City,€1.3M
James Bree,Southampton,€1.5M
James Garner,Everton,€20.7M
James Hill,Bournemouth,
James Justin,Leicester City,€16.8M
James Maddison,Tottenham,€45.5M
James Mcatee,Manchester City,€25.6M
James Milner,Brighton,€1.00m
James Tarkowski,Everton,€9.00m
James Ward-Prowse,Nott'ham Forest,
Jamie Vardy,Leicester City,€1.1M
Jan Bednarek,Southampton,€8.4M
Jan Paul van Hecke,Brighton,€38.3M
Jannik Vestergaard,Leicester City,€1.8M
Jarell Quansah,Liverpool,€40.8M
Jarrad Branthwaite,Everton,€28.1M
Jarrod Bowen,West Ham,€47.7M
Jason Steele,Brighton,€0.7M
Jay Robinson,Southampton,€8.9M
Jean-Clair Todibo,West Ham,€25.00m
Jean-Philippe Mateta,Crystal Palace,€35.00m
Jean-Ricner Bellegarde,Wolves,
Jefferson Lerma,Crystal Palace,€7.2M
Jeffrey Schlupp,Crystal Palace,€1.4M
Jens Cajuste,Ipswich Town,€10.00m
Jeremy Doku,Manchester City,€65.8M
Jeremy Monga,Leicester City,€9.4M
Jesper Lindstrøm,Everton,€12.00m
Joachim Andersen,Fulham,€29.7M
Joe Aribo,Southampton,€5.00m
Joe Gomez,Liverpool,€16.7M
Joe Lumley,Southampton,€0.5M
Joe Willock,Newcastle Utd,€17.8M
Joelinton,Newcastle Utd,
John McGinn,Aston Villa,€19.2M
John Stones,Manchester City,€14M
Jonny Evans,Manchester Utd,
Jordan Ayew,Leicester City,€1.5M
Jordan Pickford,Everton,€15.6M
Jorge Cuenca,Fulham,€5.00m
Jorginho,Arsenal,
Joshua Acheampong,Chelsea,€15.00m
Joshua King,Fulham,€16.1M
Joshua Zirkzee,Manchester Utd,€36.1M
José Sá,Wolves,
Jota Silva,Nott'ham Forest,€85M
João Félix,Chelsea,
João Gomes,Wolves,
João Pedro,Brighton,
Joël Veltman,Brighton,€4.00m
Joško Gvardiol,Manchester City,€75.00m
Julian Araujo,Bournemouth,
Julio Enciso,Brighton,
Jurriën Timber,Arsenal,€60.00m
Justin Devenny,Crystal Palace,€8.9M
Justin Kluivert,Bournemouth,€43.3M
Jáder Durán,Aston Villa,€85M
Jørgen Strand Larsen,Wolves,
Kai Havertz,Arsenal,€62.2M
Kalvin Phillips,Ipswich Town,€11.8M
Kamaldeen Sulemana,Southampton,€20.00m
Kaoru Mitoma,Brighton,€36.9M
Kasey McAteer,Leicester City,€10.9M
Keane Lewis-Potter,Brentford,€25.00m
Kenny Tete,Fulham,€16.4M
Kepa Arrizabalaga,Bournemouth,€8.00m
Kevin Danso,Tottenham,€22.2M
Kevin De Bruyne,Manchester City,€15.9M
Kevin Schade,Brentford,€39M
Kieran Tierney,Arsenal,€5M
Kieran Trippier,Newcastle Utd,€2.3M
Kiernan Dewsbury-Hall,Chelsea,
Kobbie Mainoo,Manchester Utd,€62.7M
Konstantinos Mavropanos,West Ham,€18.1M
Kosta Nedeljković,Aston Villa,€85M
Kostas Tsimikas,Liverpool,€18.00m
Kristoffer Ajer,Brentford,€18.8M
Kyle Walker,Manchester City,€4.1M
Kyle Walker-Peters,Southampton,€15.00m
Lamare Bogarde,Aston Villa,€85M
Leandro Trossard,Arsenal,€19.7M
Leif Davis,Ipswich Town,€22.9M
Leny Yoro,Manchester Utd,€65.5M
Leon Bailey,Aston Villa,€15.4M
Lesley Ugochukwu,Southampton,
Levi Colwill,Chelsea,
Lewis Cook,Bournemouth,€17.6M
Lewis Dunk,Brighton,€3.6M
Lewis Hall,Newcastle Utd,€32.00m
Lewis Miley,Newcastle Utd,€28.5M
Liam Delap,Ipswich Town,€49.4M
Lisandro Martínez,Manchester Utd,
Lloyd Kelly,Newcastle Utd,€19.4M
Lucas Bergvall,Tottenham,€55.2M
Lucas Digne,Aston Villa,€13.2M
Lucas Paquetá,West Ham,
Luis Díaz,Liverpool,
Luis Guilherme,West Ham,
Luis Sinisterra,Bournemouth,€10.7M
Luke Shaw,Manchester Utd,€12.7M
Luke Thomas,Leicester City,€0.3M
Luke Woolfenden,Ipswich Town,€1.8M
Mads Hermansen,Leicester City,€21.6M
Mads Roerslev,Brentford,€6.00m
Malo Gusto,Chelsea,€32.1M
Manuel Akanji,Manchester City,
Manuel Ugarte,Manchester Utd,
Marc Cucurella,Chelsea,€45.00m
Marc Guéhi,Crystal Palace,
Marco Asensio,Aston Villa,€16M
Marcos Senesi,Bournemouth,€22.00m
Marcus Rashford,Aston Villa,€52.2M
Marcus Tavernier,Bournemouth,€21.3M
Mario Lemina,Wolves,€2.4M
Mark Flekken,Brentford,€12.1M
Mark Travers,Bournemouth,€5.3M
Marshall Munetsi,Wolves,€15.00m
Martin Dúbravka,Newcastle Utd,€1.00m
Martin Ødegaard,Arsenal,€80.00m
Mason Mount,Manchester Utd,€35.7M
Massimo Luongo,Ipswich Town,€0.3M
Mateo Kovačić,Manchester City,€20.00m
Mateus Fernandes,Southampton,€85M
Matheus Cunha,Wolves,€70.00m
Matheus Nunes,Manchester City,€35.00m
Mathias Jensen,Brentford,€12.3M
Mathys Tel,Tottenham,€51.4M
Mats Wieffer,Brighton,€25.00m
Matt Doherty,Wolves,€2.3M
Matt O'Riley,Brighton,€22.00m
Matthijs de Ligt,Manchester Utd,€47.2M
Matty Cash,Aston Villa,€22.8M
Matz Sels,Nott'ham Forest,€7.5M
Max Kilman,West Ham,€25.00m
Maxence Lacroix,Crystal Palace,€43.9M
Michael Kayode,Brentford,€20.00m
Michael Keane,Everton,€3.2M
Michail Antonio,West Ham,€0.6M
Micky van de Ven,Tottenham,€60.4M
Miguel Almirón,Newcastle Utd,€10.00m
Mikel Merino,Arsenal,€40.5M
Mikey Moore,Tottenham,€16M
Mikkel Damsgaard,Brentford,€38.2M
Milos Kerkez,Bournemouth,€68.7M
Mohamed Salah,Liverpool,€40.1M
Mohammed Kudus,West Ham,€63.9M
Moisés Caicedo,Chelsea,€100.00m
Morato,Nott'ham Forest,€14.00m
Morgan Gibbs-White,Nott'ham Forest,€65.00m
Morgan Rogers,Aston Villa,€66.2M
Murillo,Nott'ham Forest,
Mykhailo Mudryk,Chelsea,
Myles Lewis-Skelly,Arsenal,
Nathan Aké,Manchester City,€22.00m
Nathan Broadhead,Ipswich Town,€8.9M
Nathan Collins,Brentford,
Nathan Patterson,Everton,€16.6M
Nathan Wood-Gordon,Southampton,
Nathaniel Clyne,Crystal Palace,€750k
Neco Williams,Nott'ham Forest,€24.00m
Neto,Bournemouth,€85M
Nick Pope,Newcastle Utd,€6.1M
Niclas Füllkrug,West Ham,€10.00m
Nico O’Reilly,Manchester City,
Nicolas Jackson,Chelsea,€50.00m
Nicolás Domínguez,Nott'ham Forest,€85M
Nicolás González,Manchester City,€24.00m
Nikola Milenković,Nott'ham Forest,€35.00m
Noni Madueke,Chelsea,
Noussair Mazraoui,Manchester Utd,€28.4M
Nélson Semedo,Wolves,€8.00m
Ola Aina,Nott'ham Forest,€24.9M
Oleksandr Zinchenko,Arsenal,€85M
Oliver Scarles,West Ham,€13.2M
Oliver Skipp,Leicester City,€9.2M
Ollie Watkins,Aston Villa,€64.7M
Omar Marmoush,Manchester City,€75.00m
Omari Hutchinson,Ipswich Town,€26.3M
Orel Mangala,Everton,€16.2M
Pablo Sarabia,Wolves,€3.4M
Pape Matar Sarr,Tottenham,
Patrick Dorgu,Manchester Utd,€31.3M
Patson Daka,Leicester City,€5.7M
Pau Torres,Aston Villa,€0.3M
Paul Onuachu,Southampton,€4.3M
Pedro Neto,Chelsea,€55.00m
Pedro Porro,Tottenham,€40.00m
Pervis Estupiñán,Brighton,€22.00m
Phil Foden,Manchester City,€73.8M
Philip Billing,Bournemouth,€10.3M
Radu Drăgușin,Tottenham,€25.00m
Raheem Sterling,Arsenal,€7M
Ramón Sosa,Nott'ham Forest,€12.00m
Rasmus Højlund,Manchester Utd,€45.00m
Rayan Aït-Nouri,Wolves,
Raúl Jiménez,Fulham,€5.00m
Reece James,Chelsea,€0.2M
Reiss Nelson,Fulham,€16.4M
Renato Veiga,Chelsea,€25.00m
Ricardo Pereira,Leicester City,€4.00m
Riccardo Calafiori,Arsenal,€50.1M
Richarlison,Tottenham,€25.00m
Rico Henry,Brentford,€14.4M
Rico Lewis,Manchester City,€55.9M
Robert Sánchez,Chelsea,€20.00m
Robin Olsen,Aston Villa,€0.3M
Rodrigo Bentancur,Tottenham,€26.3M
Rodrigo Gomes,Wolves,€15.00m
Rodrigo Muniz,Fulham,€25.00m
Romain Esse,Crystal Palace,€12.00m
Roméo Lavia,Chelsea,€35.00m
Ross Barkley,Aston Villa,€2.4M
Ross Stewart,Southampton,€0.2M
Ryan Christie,Bournemouth,€10.00m
Ryan Fraser,Southampton,€1.1M
Ryan Gravenberch,Liverpool,€90.00m
Ryan Manning,Southampton,€2.1M
Ryan Sessegnon,Fulham,€18.00m
Ryan Yates,Nott'ham Forest,€14.4M
Rúben Dias,Manchester City,€60.00m
Sam Johnstone,Wolves,€6M
Sam Morsy,Ipswich Town,
Sammie Szmodics,Ipswich Town,
Sander Berge,Fulham,€25.00m
Sandro Tonali,Newcastle Utd,€65.6M
Santiago Bueno,Wolves,€0.2M
Saša Lukić,Fulham,€14.00m
Sean Longstaff,Newcastle Utd,€18.3M
Sepp van den Berg,Brentford,€29.8M
Sergio Reguilón,Tottenham,€5.00m
Simon Adingra,Brighton,€28.1M
Solly March,Brighton,€5.00m
Son Heung-min,Tottenham,€85M
Stefan Ortega,Manchester City,€85M
Stephy Mavididi,Leicester City,€10.2M
Sven Botman,Newcastle Utd,€43.2M
Sávio,Manchester City,€50.00m
Séamus Coleman,Everton,€500k
Taiwo Awoniyi,Nott'ham Forest,€14.00m
Tariq Lamptey,Brighton,€11.6M
Taylor Harwood-Bellis,Southampton,€24.6M
Thiago,Brentford,
Thomas Partey,Arsenal,€4.1M
Tim Iroegbunam,Everton,€12.2M
Timo Werner,Tottenham,€3.6M
Timothy Castagne,Fulham,€14.1M
Toby Collyer,Manchester Utd,€5.6M
Tom Cairney,Fulham,€1M
Tommy Doyle,Wolves,
Tomáš Souček,West Ham,€15.00m
Tosin Adarabioyo,Chelsea,€23.6M
Toti Gomes,Wolves,€28.00m
Trent Alexander-Arnold,Liverpool,€85M
Trevoh Chalobah,Chelsea,€41.7M
Tyler Adams,Bournemouth,€25.6M
Tyler Dibling,Southampton,€35.00m
Tyler Fredricson,Manchester Utd,€5.6M
Tyrell Malacia,Manchester Utd,€6.3M
Tyrick Mitchell,Crystal Palace,€28M
Tyrique George,Chelsea,€24.4M
Tyrone Mings,Aston Villa,€4M
Valentino Livramento,Newcastle Utd,€55.5M
Victor Bernth Kristiansen,Leicester City,
Victor Lindelöf,Manchester Utd,€8.00m
Virgil van Dijk,Liverpool,€10.7M
Vitaliy Mykolenko,Everton,€30.4M
Vitaly Janelt,Brentford,€18.6M
Vladimír Coufal,West Ham,€85M
Wataru Endo,Liverpool,€7.1M
Welington,Southampton,€3.00m
Wes Burns,Ipswich Town,€1.3M
Wesley Fofana,Chelsea,€27.5M
Wilfred Ndidi,Leicester City,€12.8M
Will Hughes,Crystal Palace,€9.7M
William Osula,Newcastle Utd,€15.00m
William Saliba,Arsenal,€77.2M
William Smallbone,Southampton,€6.00m
Willian,Fulham,€85M
Willy Boly,Nott'ham Forest,€0.9M
Wilson Odobert,Tottenham,€27.8M
Wout Faes,Leicester City,€13.3M
Woyo Coulibaly,Leicester City,€1.6M
Yankuba Minteh,Brighton,€55M
Yasin Ayari,Brighton,€28.00m
Yehor Yarmoliuk,Brentford,€20.00m
Yerson Mosquera,Wolves,€10.00m
Yoane Wissa,Brentford,€28.8M
Youri Tielemans,Aston Villa,€40.9M
Yukinari Sugawara,Southampton,€4.1M
Yves Bissouma,Tottenham,€18.5M
Álex Moreno,Nott'ham Forest,€4.00m
İlkay Gündoğan,Manchester City,€4.00m
Łukasz Fabiański,West Ham,€500k
